title,views,when,words
"SF mayor claps back at far-left city supervisor, defends drug crackdown",41000,15840,"['sf', 'mayor', 'claps', 'back', 'at', 'farleft', 'city', 'supervisor', 'defends', 'drug', 'crackdown']"
Mark Levin on Trump indictment: 'This is sickening',366000,15840,"['mark', 'levin', 'on', 'trump', 'indictment', 'this', 'is', 'sickening']"
A BIG DEAL: Bombshell report reveals new details on first COVID victims,718000,15840,"['a', 'big', 'deal', 'bombshell', 'report', 'reveals', 'new', 'details', 'on', 'first', 'covid', 'victims']"
Ramaswamy rips 'laughable' allegation behind 2024 run: 'This is a joke',301000,17280,"['ramaswamy', 'rips', 'laughable', 'allegation', 'behind', 'run', 'this', 'is', 'a', 'joke']"
Jimmy Failla: This is crushing California,203000,17280,"['jimmy', 'failla', 'this', 'is', 'crushing', 'california']"
Brian Kilmeade: This is a horror story,116000,17280,"['brian', 'kilmeade', 'this', 'is', 'a', 'horror', 'story']"
China is ‘testing’ the Biden administration: Vivek Ramaswamy,107000,17280,"['china', 'is', 'testing', 'the', 'biden', 'administration', 'vivek', 'ramaswamy']"
"Cyber attackers stealing ‘super private’ information from govt, private companies",27000,18720,"['cyber', 'attackers', 'stealing', 'super', 'private', 'information', 'from', 'govt', 'private', 'companies']"
Putin sends chilling statement to the West,504000,18720,"['putin', 'sends', 'chilling', 'statement', 'to', 'the', 'west']"
'Duck Family Treasure' family scolds Dodgers honoring controversial group,61000,18720,"['duck', 'family', 'treasure', 'family', 'scolds', 'dodgers', 'honoring', 'controversial', 'group']"
Jesse Watters: San Francisco needs an intervention,613000,18720,"['jesse', 'watters', 'san', 'francisco', 'needs', 'an', 'intervention']"
Jesse Watters: This is the deal Biden-Newsom cut,327000,18720,"['jesse', 'watters', 'this', 'is', 'the', 'deal', 'bidennewsom', 'cut']"
McEnany calls out Barack Obama's 'condescension and fear',181000,20160,"['mcenany', 'calls', 'out', 'barack', 'obamas', 'condescension', 'and', 'fear']"
Tim Scott hits back at Barack Obama: The left doesn't like a Black conservative,132000,20160,"['tim', 'scott', 'hits', 'back', 'at', 'barack', 'obama', 'the', 'left', 'doesnt', 'like', 'a', 'black', 'conservative']"
The FBI knew this all along: Rep. James Comer,121000,20160,"['the', 'fbi', 'knew', 'this', 'all', 'along', 'rep', 'james', 'comer']"
Cornel West faces off with Laura Ingraham: 'We actually agree on a lot',167000,20160,"['cornel', 'west', 'faces', 'off', 'with', 'laura', 'ingraham', 'we', 'actually', 'agree', 'on', 'a', 'lot']"
Jesse Watters: Democrats are resorting to the dirty tricks of old,101000,20160,"['jesse', 'watters', 'democrats', 'are', 'resorting', 'to', 'the', 'dirty', 'tricks', 'of', 'old']"
Ingraham: These are serious allegations against President Biden,139000,20160,"['ingraham', 'these', 'are', 'serious', 'allegations', 'against', 'president', 'biden']"
This Biden official admitted his incompetence to the Senate: Rep. Mark Green,48000,20160,"['this', 'biden', 'official', 'admitted', 'his', 'incompetence', 'to', 'the', 'senate', 'rep', 'mark', 'green']"
Trump is a threat to the liberal media agenda: Jason Chaffetz,43000,20160,"['trump', 'is', 'a', 'threat', 'to', 'the', 'liberal', 'media', 'agenda', 'jason', 'chaffetz']"
Brian Kilmeade: This is an unprecedented turn in American history,60000,20160,"['brian', 'kilmeade', 'this', 'is', 'an', 'unprecedented', 'turn', 'in', 'american', 'history']"
Lawrence Jones: This is all about getting rid of cops,21000,20160,"['lawrence', 'jones', 'this', 'is', 'all', 'about', 'getting', 'rid', 'of', 'cops']"
Portland resident sounds off on city’s plans to house homeless community,77000,20160,"['portland', 'resident', 'sounds', 'off', 'on', 'citys', 'plans', 'to', 'house', 'homeless', 'community']"
"Biden, KJP refuse to address $5M bribery allegations",253000,20160,"['biden', 'kjp', 'refuse', 'to', 'address', 'm', 'bribery', 'allegations']"
Trump supporters rally outside court: ‘They’re afraid of him’,134000,20160,"['trump', 'supporters', 'rally', 'outside', 'court', 'theyre', 'afraid', 'of', 'him']"
Gutfeld: This is baffling and bizarre,176000,20160,"['gutfeld', 'this', 'is', 'baffling', 'and', 'bizarre']"
'STONEWALLING': Sen. Cruz accuses FBI of 'covering up' for Bidens,51000,20160,"['stonewalling', 'sen', 'cruz', 'accuses', 'fbi', 'of', 'covering', 'up', 'for', 'bidens']"
Jesse Watters: Biden banned a trans flasher from the White House,804000,20160,"['jesse', 'watters', 'biden', 'banned', 'a', 'trans', 'flasher', 'from', 'the', 'white', 'house']"
Legal panel sounds off on Biden's scandals as Trump appears in court,88000,20160,"['legal', 'panel', 'sounds', 'off', 'on', 'bidens', 'scandals', 'as', 'trump', 'appears', 'in', 'court']"
Sean Hannity: The rule of law doesn't mean much to the Bidens,87000,20160,"['sean', 'hannity', 'the', 'rule', 'of', 'law', 'doesnt', 'mean', 'much', 'to', 'the', 'bidens']"
‘The Five’ reacts to Gavin Newsom’s ‘excuses’ on the state’s homeless crisis,327000,20160,"['the', 'five', 'reacts', 'to', 'gavin', 'newsoms', 'excuses', 'on', 'the', 'states', 'homeless', 'crisis']"
College grad's 'hate-fueled' address sparks fury,257000,20160,"['college', 'grads', 'hatefueled', 'address', 'sparks', 'fury']"
This is a serious problem for Trump: Douglas Murray,104000,20160,"['this', 'is', 'a', 'serious', 'problem', 'for', 'trump', 'douglas', 'murray']"
Trump responds to federal charges: 'No criminality here',57000,20160,"['trump', 'responds', 'to', 'federal', 'charges', 'no', 'criminality', 'here']"
Trump scoffs at indictment: This is 'election interference',42000,20160,"['trump', 'scoffs', 'at', 'indictment', 'this', 'is', 'election', 'interference']"
What stories are the media failing to cover?,59000,20160,"['what', 'stories', 'are', 'the', 'media', 'failing', 'to', 'cover']"
"Gavin Newsom: This was an 'embarrassing, pathetic stunt' by DeSantis",379000,20160,"['gavin', 'newsom', 'this', 'was', 'an', 'embarrassing', 'pathetic', 'stunt', 'by', 'desantis']"
