title,views,when,words
Harris Faulkner: I'm not evening listening to AOC anymore,93000,43200,"['harris', 'faulkner', 'im', 'not', 'evening', 'listening', 'to', 'aoc', 'anymore']"
White House claps back at Whistleblower's bombshell 'pay-to-play' claims,708000,43200,"['white', 'house', 'claps', 'back', 'at', 'whistleblowers', 'bombshell', 'paytoplay', 'claims']"
"Biden could be impeached, and the evidence is 'growing': Sen. Cruz",627000,43200,"['biden', 'could', 'be', 'impeached', 'and', 'the', 'evidence', 'is', 'growing', 'sen', 'cruz']"
New details revealed on alleged Atlanta shooter,39000,43200,"['new', 'details', 'revealed', 'on', 'alleged', 'atlanta', 'shooter']"
AOC and the left are making people feel depressed: Sean Duffy,20000,43200,"['aoc', 'and', 'the', 'left', 'are', 'making', 'people', 'feel', 'depressed', 'sean', 'duffy']"
Hannity: The ‘big guy’ could be in trouble,363000,43200,"['hannity', 'the', 'big', 'guy', 'could', 'be', 'in', 'trouble']"
Judge Jeanine: We are descending into anarchy and chaos,504000,43200,"['judge', 'jeanine', 'we', 'are', 'descending', 'into', 'anarchy', 'and', 'chaos']"
Liberals lose it over bar's daily national anthem,350000,43200,"['liberals', 'lose', 'it', 'over', 'bars', 'daily', 'national', 'anthem']"
Joe Piscopo: This fight is working-class Americans vs corporate giants,15000,43200,"['joe', 'piscopo', 'this', 'fight', 'is', 'workingclass', 'americans', 'vs', 'corporate', 'giants']"
Marco Rubio: We knew Hunter Biden’s laptop was ‘real’ and ‘true’,63000,43200,"['marco', 'rubio', 'we', 'knew', 'hunter', 'bidens', 'laptop', 'was', 'real', 'and', 'true']"
This is how bad the economy could get | Will Cain Podcast,137000,43200,"['this', 'is', 'how', 'bad', 'the', 'economy', 'could', 'get', 'will', 'cain', 'podcast']"
Guy Benson torches condescending KJP over 'flagrant' lie | Guy Benson Show,873000,43200,"['guy', 'benson', 'torches', 'condescending', 'kjp', 'over', 'flagrant', 'lie', 'guy', 'benson', 'show']"
Gutfeld: Hunter Biden’s world is unraveling,370000,43200,"['gutfeld', 'hunter', 'bidens', 'world', 'is', 'unraveling']"
Jesse Watters: We’re being bamboozled,258000,43200,"['jesse', 'watters', 'were', 'being', 'bamboozled']"
Ingraham: There is a ‘trail of death’ at the border,159000,43200,"['ingraham', 'there', 'is', 'a', 'trail', 'of', 'death', 'at', 'the', 'border']"
Kayleigh McEnany: This is the biggest lie from the White House,145000,43200,"['kayleigh', 'mcenany', 'this', 'is', 'the', 'biggest', 'lie', 'from', 'the', 'white', 'house']"
Concha: This is classic DC swamp,33000,43200,"['concha', 'this', 'is', 'classic', 'dc', 'swamp']"
These are explosive revelations about Jeffrey Epstein: Mollie Hemingway,236000,43200,"['these', 'are', 'explosive', 'revelations', 'about', 'jeffrey', 'epstein', 'mollie', 'hemingway']"
Should AI be used in medicine?,10000,43200,"['should', 'ai', 'be', 'used', 'in', 'medicine']"
Widow speaks out after husband was killed by illegal immigrant,27000,43200,"['widow', 'speaks', 'out', 'after', 'husband', 'was', 'killed', 'by', 'illegal', 'immigrant']"
Lawrence Jones grills GOP presidential candidate: 'Why are you running?',24000,43200,"['lawrence', 'jones', 'grills', 'gop', 'presidential', 'candidate', 'why', 'are', 'you', 'running']"
‘The Five’: Could Hunter Biden's child support battle expose family corruption?,392000,43200,"['the', 'five', 'could', 'hunter', 'bidens', 'child', 'support', 'battle', 'expose', 'family', 'corruption']"
McEnany: 'Science' goes out the window when it's not woke enough for the left,105000,43200,"['mcenany', 'science', 'goes', 'out', 'the', 'window', 'when', 'its', 'not', 'woke', 'enough', 'for', 'the', 'left']"
This Hunter Biden revelation is shocking even by Washington standards: Turley,357000,43200,"['this', 'hunter', 'biden', 'revelation', 'is', 'shocking', 'even', 'by', 'washington', 'standards', 'turley']"
Steve Hilton fact-checks Fauci: 'It all makes sense now',153000,43200,"['steve', 'hilton', 'factchecks', 'fauci', 'it', 'all', 'makes', 'sense', 'now']"
Karl Rove: This is how 2024 will play out if Trump is the nominee,447000,43200,"['karl', 'rove', 'this', 'is', 'how', 'will', 'play', 'out', 'if', 'trump', 'is', 'the', 'nominee']"
Trump to Mark Levin: This was a 'disaster',440000,43200,"['trump', 'to', 'mark', 'levin', 'this', 'was', 'a', 'disaster']"
FREEDOM FIGHTER: Ex-NBA star teases congressional run,18000,43200,"['freedom', 'fighter', 'exnba', 'star', 'teases', 'congressional', 'run']"
'BOLD-FACED': Blinken accused of lying under oath to protect Hunter Biden,257000,86400,"['boldfaced', 'blinken', 'accused', 'of', 'lying', 'under', 'oath', 'to', 'protect', 'hunter', 'biden']"
Hunter Biden accused of playing 'destitute' artist to lower child support payments,99000,86400,"['hunter', 'biden', 'accused', 'of', 'playing', 'destitute', 'artist', 'to', 'lower', 'child', 'support', 'payments']"
Discovering a career that you love | Everything Will Be Okay,10000,86400,"['discovering', 'a', 'career', 'that', 'you', 'love', 'everything', 'will', 'be', 'okay']"
Child helps Biden remember where he visited,32000,86400,"['child', 'helps', 'biden', 'remember', 'where', 'he', 'visited']"
Now being thin stems from white supremacy?: Gutfeld,377000,86400,"['now', 'being', 'thin', 'stems', 'from', 'white', 'supremacy', 'gutfeld']"
Biden’s ‘spending spree’ causing these economic woes: Steve Moore,31000,86400,"['bidens', 'spending', 'spree', 'causing', 'these', 'economic', 'woes', 'steve', 'moore']"
Is Randi Weingarten trying to rewrite lockdown history?,36000,86400,"['is', 'randi', 'weingarten', 'trying', 'to', 'rewrite', 'lockdown', 'history']"
Charly Arnolt on why she left ESPN | Will Cain Podcast,31000,86400,"['charly', 'arnolt', 'on', 'why', 'she', 'left', 'espn', 'will', 'cain', 'podcast']"
Gutfeld: Biden finally admitted what we've been saying all along,619000,86400,"['gutfeld', 'biden', 'finally', 'admitted', 'what', 'weve', 'been', 'saying', 'all', 'along']"
Pete Hegseth: This is an assault on families,87000,86400,"['pete', 'hegseth', 'this', 'is', 'an', 'assault', 'on', 'families']"
Ingraham: Biden is trying to finish off America,392000,86400,"['ingraham', 'biden', 'is', 'trying', 'to', 'finish', 'off', 'america']"
Download the Fox News app now,4600,86400,"['download', 'the', 'fox', 'news', 'app', 'now']"
FBI slammed for not having answers on secret Chinese police stations,60000,86400,"['fbi', 'slammed', 'for', 'not', 'having', 'answers', 'on', 'secret', 'chinese', 'police', 'stations']"
What did Kamala just say?,857000,86400,"['what', 'did', 'kamala', 'just', 'say']"
Do these books look appropriate for kids?,16000,86400,"['do', 'these', 'books', 'look', 'appropriate', 'for', 'kids']"
Gutfeld: School districts from around the country are buying into this,396000,86400,"['gutfeld', 'school', 'districts', 'from', 'around', 'the', 'country', 'are', 'buying', 'into', 'this']"
Pete Hegseth: Biden got caught red-handed,193000,86400,"['pete', 'hegseth', 'biden', 'got', 'caught', 'redhanded']"
'The Five': Biden caught 'red-handed',275000,86400,"['the', 'five', 'biden', 'caught', 'redhanded']"
Karl Rove: This isn't the way Biden wants to go into the election,81000,86400,"['karl', 'rove', 'this', 'isnt', 'the', 'way', 'biden', 'wants', 'to', 'go', 'into', 'the', 'election']"
Jerry Springer dead at 79,390000,86400,"['jerry', 'springer', 'dead', 'at']"
Tulsi Gabbard: This is literal insanity,168000,86400,"['tulsi', 'gabbard', 'this', 'is', 'literal', 'insanity']"
"We are getting sicker, fatter and more depressed: Calley Means",19000,86400,"['we', 'are', 'getting', 'sicker', 'fatter', 'and', 'more', 'depressed', 'calley', 'means']"
Gutfeld: No one wants to do this,313000,86400,"['gutfeld', 'no', 'one', 'wants', 'to', 'do', 'this']"
Judge Jeanine: This is a serious stand against cancel culture,125000,86400,"['judge', 'jeanine', 'this', 'is', 'a', 'serious', 'stand', 'against', 'cancel', 'culture']"
Riley Gaines goes off on Lia Thomas' 'gaslighting',361000,86400,"['riley', 'gaines', 'goes', 'off', 'on', 'lia', 'thomas', 'gaslighting']"
Ramaswamy: 'Biden isn't really running for president',215000,86400,"['ramaswamy', 'biden', 'isnt', 'really', 'running', 'for', 'president']"
"Second U.S. citizen killed in Sudan, White House confirms",22000,86400,"['second', 'us', 'citizen', 'killed', 'in', 'sudan', 'white', 'house', 'confirms']"
Brian Kilmeade: Biden released the single most divisive campaign ad,210000,86400,"['brian', 'kilmeade', 'biden', 'released', 'the', 'single', 'most', 'divisive', 'campaign', 'ad']"
Seen and Unseen: Biden’s 2024 blooper reel,89000,86400,"['seen', 'and', 'unseen', 'bidens', 'blooper', 'reel']"
Will Cain: Biden has been flirting with America for 50 years,205000,86400,"['will', 'cain', 'biden', 'has', 'been', 'flirting', 'with', 'america', 'for', 'years']"
Kayleigh McEnany: Biden running on stopping ‘MAGA’ Republicans,47000,86400,"['kayleigh', 'mcenany', 'biden', 'running', 'on', 'stopping', 'maga', 'republicans']"
Ingraham: The Democratic Party has gone insane,249000,86400,"['ingraham', 'the', 'democratic', 'party', 'has', 'gone', 'insane']"
WE DESERVE BETTER: GOP rep. blasts Biden's performance after 2024 announcement,102000,86400,"['we', 'deserve', 'better', 'gop', 'rep', 'blasts', 'bidens', 'performance', 'after', 'announcement']"
Democrats blasted as 'undemocratic' for skipping debates,117000,86400,"['democrats', 'blasted', 'as', 'undemocratic', 'for', 'skipping', 'debates']"
Brian Kilmeade: The Democratic Party wants to bury this story,171000,86400,"['brian', 'kilmeade', 'the', 'democratic', 'party', 'wants', 'to', 'bury', 'this', 'story']"
Vivek Ramaswamy: This is a form of elder abuse,27000,86400,"['vivek', 'ramaswamy', 'this', 'is', 'a', 'form', 'of', 'elder', 'abuse']"
Something strange is going on in Texas: UFO investigator,167000,86400,"['something', 'strange', 'is', 'going', 'on', 'in', 'texas', 'ufo', 'investigator']"
Biden family crimes to be exposed: Rep. Jim Jordan,208000,86400,"['biden', 'family', 'crimes', 'to', 'be', 'exposed', 'rep', 'jim', 'jordan']"
‘The Five’: Get ready for Biden’s 2024 campaign,127000,86400,"['the', 'five', 'get', 'ready', 'for', 'bidens', 'campaign']"
Bill Maher calls out liberal cities: Why isn't anyone talking about this?,714000,86400,"['bill', 'maher', 'calls', 'out', 'liberal', 'cities', 'why', 'isnt', 'anyone', 'talking', 'about', 'this']"
Dana Perino: Even the NY Times is saying this now,101000,86400,"['dana', 'perino', 'even', 'the', 'ny', 'times', 'is', 'saying', 'this', 'now']"
'This is a gut punch': Biden to announce 2024 bid amid 'devastating' poll,205000,86400,"['this', 'is', 'a', 'gut', 'punch', 'biden', 'to', 'announce', 'bid', 'amid', 'devastating', 'poll']"
Hilton: Biden is pandering to the far-left climate zealots,19000,86400,"['hilton', 'biden', 'is', 'pandering', 'to', 'the', 'farleft', 'climate', 'zealots']"
SWAT destroyed this cancer survivor’s house. Here's why they may have to pay up | Digital Original,259000,86400,"['swat', 'destroyed', 'this', 'cancer', 'survivors', 'house', 'heres', 'why', 'they', 'may', 'have', 'to', 'pay', 'up', 'digital', 'original']"
Legendary NBA coach Phil Jackson slams league for becoming too political,29000,86400,"['legendary', 'nba', 'coach', 'phil', 'jackson', 'slams', 'league', 'for', 'becoming', 'too', 'political']"
Brian Kilmeade: The White House wasted no time cleaning up this mess,663000,86400,"['brian', 'kilmeade', 'the', 'white', 'house', 'wasted', 'no', 'time', 'cleaning', 'up', 'this', 'mess']"
Jonathan Turley: ‘Time is running out’ for Hunter Biden,341000,86400,"['jonathan', 'turley', 'time', 'is', 'running', 'out', 'for', 'hunter', 'biden']"
Democrats torched over 'crazy' proposal protecting LGBTQ+ migrants,326000,86400,"['democrats', 'torched', 'over', 'crazy', 'proposal', 'protecting', 'lgbtq', 'migrants']"
"U.S. embassy staff, families evacuated from Sudan",547000,86400,"['us', 'embassy', 'staff', 'families', 'evacuated', 'from', 'sudan']"
Why the China threat is growing at the United States' expense,76000,86400,"['why', 'the', 'china', 'threat', 'is', 'growing', 'at', 'the', 'united', 'states', 'expense']"
HBO's Bill Maher awards heroes who defeated cancel culture,239000,86400,"['hbos', 'bill', 'maher', 'awards', 'heroes', 'who', 'defeated', 'cancel', 'culture']"
Jake Gyllenhaal: This made me proud to be an American,38000,86400,"['jake', 'gyllenhaal', 'this', 'made', 'me', 'proud', 'to', 'be', 'an', 'american']"
Author warns Tucker about mob rule in America,181000,86400,"['author', 'warns', 'tucker', 'about', 'mob', 'rule', 'in', 'america']"
Economist to Tucker: Biden's 'reckless policy' will put Americans 'underwater',83000,86400,"['economist', 'to', 'tucker', 'bidens', 'reckless', 'policy', 'will', 'put', 'americans', 'underwater']"
The Duffys on what GOP lawmakers are getting wrong on abortion | From The Kitchen Table,10000,86400,"['the', 'duffys', 'on', 'what', 'gop', 'lawmakers', 'are', 'getting', 'wrong', 'on', 'abortion', 'from', 'the', 'kitchen', 'table']"
